sample_id,image_file,spectrogram_file,scientific_name,photo_file_original,audio_file_original,inat_observer_login,inat_observer_name,license_image,audio_recorder,license_audio_xc,audio_id,audio_url,wikipedia_article_url,wikipedia_history_url,wikipedia_license_text,wikipedia_license_url
01-haemorhous-mexicanus,01-haemorhous-mexicanus-image.png,01-haemorhous-mexicanus-spectrogram.png,Haemorhous mexicanus,bird-mml/photos/199840.0/770647.JPG,bird-mml/audio/Haemorhous_mexicanus/House_Finch_323531_clip1.wav,bheitzman,Bob Heitzman,by-nc,Manuel Grosselet,//creativecommons.org/licenses/by-nc-sa/4.0/,323531.0,//xeno-canto.org/323531,https://en.wikipedia.org/wiki/House_finch,https://en.wikipedia.org/wiki/House_finch?action=history,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
02-bubo-virginianus,02-bubo-virginianus-image.png,02-bubo-virginianus-spectrogram.png,Bubo virginianus,bird-mml/photos/20044.0/1915775.jpg,bird-mml/audio/Bubo_virginianus/Great_Horned_Owl_503354_clip70.wav,swpip,Scot Pipkin,by-nc,Sunny Tseng,//creativecommons.org/licenses/by-nc-sa/4.0/,503354.0,//xeno-canto.org/503354,https://en.wikipedia.org/wiki/Great_horned_owl,https://en.wikipedia.org/wiki/Great_horned_owl?action=history,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
03-melospiza-melodia,03-melospiza-melodia-image.png,03-melospiza-melodia-spectrogram.png,Melospiza melodia,bird-mml/photos/9100.0/570667.jpg,bird-mml/audio/Melospiza_melodia/Song_Sparrow_329532_clip0.wav,bbunny,Rebecca Marschall,by-nc,Dan Minor,//creativecommons.org/licenses/by-nc-sa/4.0/,329532.0,//xeno-canto.org/329532,https://en.wikipedia.org/wiki/Song_sparrow,https://en.wikipedia.org/wiki/Song_sparrow?action=history,Creative Commons Attribution-Share Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en
